	Molecule Type	Target genes	count	z-score	Direction
SRC	kinase	AKT1, BCL2L1, CA2, CAV1, CBL, CCL2, CCND1, CCND2, CCNE1, CDH1, CDK1, CDKN1A, CDON, CGA, CKM, COL1A2, CSF2, CSF3, CSN2, CTNNB1, CTNND1, CTSB, CTSV, CXCL10, CXCL8, CYP1A1, DOK1, DUSP1, EGFR, ENO1, ERBB2, F2R, F3, FGF4, FMN2, FN1, FOS, FOSL1, GBP1, GCLC, GJA1, GRIN3A, HAS1, HAS2, HIF1A, HMOX1, IBSP, ICAM1, ID1, IFNB1, IGF1R, IL2, IL6, INS, JUNCGA, JUN, KLK3, KRT18, LAMP1, LAMP2, LDLR, LHB, MCL1, MMP1, MMP2, MMP9, MYC, MYOD1, MYOG, NANOG, NEUROD1, NEUROG3, NFE2L2, NFKB1, NPPA, NQO1, NQO2GBP1, NQO2, PGK1, PLAU, PLAUR, PLK1, POSTN, POU5F1, PRKCA, PRKCD, PRKCE, PRL, PTGS2, PTH1R, PTRF, RETSAT	92.0	3.3873333333333338	induced
SREBF1	transcription regulator	AACS, AARS, ABCA1, ABCD2, ACACA, ACACB, ACADS, ACLY, ACSL1, ACSL4, ACSL5, ACSS2, ADH1C, ADIPOQ, AGMAT, AK4, ALDOC, ALOX12, ANKRD2, APOA2, APOA5, APOC3, AR, ATOX1, BAX, BCL2, BCL2L1, BGLAP, CAMK1D, CAPZB, CCL17, CDK4, CDKN1A, CEBPA, CEBPB, CEBPD, CFD, COL6A1, CSAD, CXCL10, CYB5A, CYP27B1, CYP4F2, CYP51A1, CYP7A1, CYP7B1, CYP8B1, DARS, DBI, DGKQ, DHCR7, DLK1, DPY19L3, EHHADH, ELOVL6, ELOVL7, ETHE1, FABP4, FABP5, FABP6, FADS1, FADS2, FAM189B, FAS, FASN, FDFT1, FDPS, FN1, G6PC, G6PD, GCK, GPAM, GPX3, GRSF1, GSR, HK2, HMGCR, HMGCS1, HMOX1, HNF4A, HSD17B1, HSPA13, HSPA1A/HSPA1B, HSPA5, IAPP, IDH1, IDI1, IL10, IL12A, IL1B, IL1R2, IL6, IMMT, INS, INSIG1, IRS2CFD, IRS2, KCNA2, KCNJ11, LDLR, LEP, LGALS3, LPIN1, LPL, LSS, MAT1A, MLYCD, MSMO1, MSTN, MTTP, MVD, NCF2, NKX6-1, NOS2, NPC1, NR0B2, NR1H3, NSDHL, OAT	119.0	5.403	induced
SREBF2	transcription regulator	AACS, ABCA1, ACAA2, ACACA, ACLY, ACR, ACSL1, ACSS2, ALDOC, APOA2, CAMK1D, CDKN1A, CYB5A, CYP4F2, CYP51A1, CYP7B1, CYP8B1, DBI, DHCR7, EBP, ELOVL6, FABP5, FABP6, FADS2, FASN, FDFT1, FDPS, G6PD, GTF2I, HES6, HMGCR, HMGCS1, HSD17B1, IDH1, IDI1, INSIG1, IRS2CYB5A, IRS2, LDLR, LIPA, LRP1, LSS, MSMO1, MTTP, MVD, MVK, NEUROD1, NPC1L1, NSDHL	49.0	4.655	induced
SRF	transcription regulator	A2M, ABCA4, ACTA1, ACTA2, ACTB, ACTC1, ACTG2, AKAP12, AMD1, ANAPC15, ANKRD1, ANKRD6, APOLD1, ARC, ARHGAP20, ASB5, AVPR1A, AZI2, BATF, BCL2, BCL2L1, BCL2L11, BICC1, BMP2, BPGM, BRD3, C1QL3, CALB1, CALD1, CAMP, CAP1, CAPRIN1, CCDC174, CCL5, CD177, CD19, CDK4, CDKN1A, CEBPE, CENPB, CKM, CLDN15, CLRN1, CMA1, CNN1, CNN2, CORIN, CPA3, CPM, CSRP1, CSRP2, CT55, CTGF, CTNNB1, CTNNBL1, CTSG, CXCR4, CYLD, DES, DMD, DMKN, DSTN, DUSP5, E2F5, EGR1, EGR2, EGR3, EGR4, EIF6, ELANE, ELK1, EPG5, EPX, ETS1, ETV1, EXTL2, EYA2, EYA3, FAM60A, FAM63B, FBXO42, FCN1, FGF1, FGF12, FHL1, FHL2, FIGF, FILIP1L, FLNA, FLT4, FOS, FOSB, FOSL1, FOXQ1, FST, G0S2, GADD45G, GATA1, GATA4, GCH1, GCKR, GDA, GFI1, GLIPR1, GLRX3, GP1BA, GP5, GP9, GPATCH4, GPM6A, GSN, GSTM5, GTF2H5, HAMP, HEATR5B, HES6, HIF3A, HIPK1, HSPG2, IER2, IGF1, IL15, IL2, IL26, IL4, ITGA1, ITGA2B, ITGA6, ITGA9, ITGAM, ITGB1, JUN, JUNBCKM, JUNB, KDSR, LBH, LCN2, LDB3, LDLR, LEPR, LMCD1, LMOD1, LPCAT3, LPL, LRP1, LRP4, LTF, MAP3K14, MAP4K4, MAPK10, MAPK13, MAT1A, MBD2, MCF2L, MCL1, MED6, MEIS1, MGAT4A, MGST1, MGST2, MMP9, MOGAT2, MPL, MPPED2, MRPS35, MS4A3, MSTN, MTMR6, MYB, MYH1, MYH11, MYH2, MYH4, MYH6, MYH7, MYH9, MYL1, MYL2, MYL3, MYL4, MYL9, MYLK, MYLPF, MYO1B, MYO1E, MYOCD, MYOD1, MYOG, MYOM1, NCOA7, NET1, NEUROD6, NFATC2, NKX2-5, NLRP1, NPM1, NPPA, NR4A1, NR4A2, NXF5LTF, NXF5, ODF2L, OPA3, OPHN1, OPN3, OR14J1, OR2AK2, OR2B3, OSCP1, P2RX1, PAFAH1B1, PCDH15, PDE2A, PDLIM7, PDX1, PGLYRP1, PGM1, PKHD1L1, PLA2R1, PMFBP1, PPIA, PRG2, PRG3, PRSS57, PRTN3, PTGR1, PTGS2, PTMS, PVRL1, RAB27B, RAF1, RAI2, RAMP1, RBBP6, RFC4, RFX5, RND3, RNF148, RNH1, S100A8, S100A9, SCAP, SCYL1, SELP, SEMA3A, SEMA6D, SERPINB10, SERPINB2, SERPIND1, SHH, SHOC2, SKI, SLC2A1, SLC37A1, SLC6A4, SLC8A1, SLPI, SND1, SNX2, SOSTDC1, SPTBN2, SREBF2, SRF, SVIL, T, TAF5, TAGLN, TAL1, TBP, TBXAS1, TCAP, TCF7, TLN1, TMBIM4, TMEM184C, TMEM40, TMEM44, TMOD3, TNC, TNIP2, TNNC1, TNNT1, TNNT2	283.0	3.0706666666666664	induced
STAT1	transcription regulator	A2M, ABCA1, AGT, ALAS2, ALDH1A3, ALOX15, ANGPT2, APOBEC3B, APOBEC3G, APOC2, APOE, APOL6, ARG1, AXL, B2M, BAD, BATF2, BAX, BCL2L1, BCL2L11, BCL6, BIRC5, BTG1, C3, CASP1, CASP2, CASP3, CASP4, CASP6, CASP8, CCL19, CCL2, CCL3, CCL3L3, CCL4, CCL5, CCND1, CCND2, CCND3, CCNE1, CCR6, CCR7, CCRL2, CD14, CD274, CD40, CD86, CDK2, CDKN1A, CDKN1B, CEACAM1, CEBPD, CFB, CH25H, CIITA, CLIC5, CMPK2, CREM, CSF2, CSF3R, CSN2, CX3CL1, CXCL10, CXCL11, CXCL3, CXCL8, CXCL9, CXCR3, CYP1A2, CYP2C8, CYP2E1, CYP3A5, CYP4A11, CYSLTR2, DCSTAMP, DEFB103A/DEFB103B, DEFB4A/DEFB4B, DPP4, DUOX2, EDN1, EGLN3, EGR1, EIF2AK2, FAM26F, FAS, FASLG, FCER1G, FCGR1A, FCGR2B, FGF2, FGL2, FOS, FOXP3, GATA3, GBP1, GBP2, GBP3, GBP5, GBP6, GREB1, HBG1, HERC6, HIF1A, HLA-DRB5, HTRA1, ICAM1, IDO1, IFI16, IFI27, IFI35, IFI6, IFIT1, IFIT1B, IFIT2, IFIT3, IFITM1, IFITM2, IFITM3, IFNB1, IFNG, IFNL1, IFNL2, IFNL3, IGF1, IGF1R, IL10, IL12A, IL12B, IL12RB2, IL15, IL15RA, IL17A, IL18BP, IL1B, IL1R1, IL2, IL31RA, IL4, IL6, IRF1, IRF5, IRF7, IRF8, IRF9, IRG1, ISG15, ITGAX, JAK2, JUNCFB, JUN, KCTD12, LCN2, LY6E, LY96, MDM2, MMP9, MUC4, MX1, MYC, NEURL3, NFE2, NOS2, NOX5, NPPA, OAS2, OASLA2M, SLFN12L, SLFN13, SLFN5, SMAD2, SMAD3, SMAD7, SMAGP, SMARCB1, SOAT1, SOCS1, SOCS3, SP110, SPRR1A, SREBF1, STAT1, STAT2, TAP1, TAPBPL, TBX21, TFF1, TLR3, TLR4, TLR8, TLR9, TNF, TNFRSF10B, TNFSF10, TP53, TP53BP2, TRAF2, TRAFD1, TRIM22, TYMP, UBD, USP18, WARSA2M, PHACTR1, PIM1, PMAIP1, POMC, PPARG, PPARGC1B, PRF1, PRKCE, PRL, PSMB10, PSMB8, PSMB9, PSME1, PSME2, PTGS2, PTN, RARB, RNF213, RORC, RSAD2, RUNX1, S100A10, SAMHD1, SERPINA3, SERPINB3, SERPINB4, SERPING1, SHH	230.0	6.671	induced
STAT3	transcription regulator	A2M, ACTA2, ADIPOQ, ADM, AGRP, AGT, AHR, AHSG, AHSP, AKT1, ALAS2, ALOX15, AMER1, ANGPT2, ANGPTL4, APEX1, APOA4, AREG, ARG1, ARG2, ATOH1, BAK1, BATF, BCL2, BCL2L1, BCL2L11, BCL3, BCL6, BECN1, BIRC5, BMF, BOC, BST2, C5, C5AR1, CASP1, CASP7, CAT, CCDC88A, CCL11, CCL17, CCL2, CCL20, CCL3L3, CCL4, CCL5, CCNB1, CCNC, CCND1, CCND2, CCNE1, CCR1, CCR5, CD209, CD274, CD40, CD40LG, CD46, CD74, CD80, CD83, CD86, CD9, CDC25A, CDH1, CDH2, CDH5, CDK1, CDKN1A, CDKN1B, CDKN2A, CDKN2D, CDON, CEACAM1, CEBPA, CEBPB, CEBPD, CFB, CFLAR, CHEK1, CHI3L1, CIITA, CLN6, COL1A2, COL3A1, COL5A1, COPS5, CREB1, CRP, CSF2, CSF3, CSN2, CTF1, CTLA4, CTSB, CTSL, CTTN, CXCL10, CXCL12, CXCL13, CXCL2, CXCL3, CXCL6, CXCL8, CXCL9, CXCR2, CYP26A1, DDIT3, DKK1, DLEC1, DLL1, DNMT1, DNMT3B, DTX3, DVL3, ECT2, EGR1, EGR2, EGR3, EIF2AK2, EME1, EOMES, EPAS1, ESR1, ESR2, F3, FAS, FASLG, FASN, FCER1G, FCGR1A, FERMT2, FFAR2, FGA, FGB, FGF2, FGG, FLRT3, FLT1, FN1, FOS, FOXA3, FOXM1, FOXP3, FSCN1, FST, G6PC, GADD45A, GADD45G, GBP2, GBP3, GFAP, GIGYF1, GJA1, GLIPR1, GZMB, HAMP, HAS2, HAVCR1, HBB, HBG1, HERC5, HES5, HGF, HIF1A, HIST2H2AA3/HIST2H2AA4, HK2, HLA-A, HLA-DMA, HLA-DQA1, HLA-DRB5, HMOX1, HNF4A, HNRNPD, HOXA10, HP, HTR2A, ICAM1, ICOS, ID2, IFI16, IFI27, IFI30, IFI35, IFI44, IFI6, IFIH1, IFIT1, IFIT1B, IFIT3, IFIT5, IFITM1, IFITM2, IFITM3, IFNB1, IFNG, IGF1R, IGFBP1, IGFBP5, IHH, IKBKE, IKZF2, IKZF3, IL10, IL11, IL12B, IL12RB1, IL13, IL13RA2, IL17A, IL17F, IL18R1, IL1B, IL1R1, IL1RN, IL21, IL22, IL23A, IL23R, IL2RA, IL2RB, IL4, IL4R, IL5, IL6, IL6R, IL6ST, IL7, IL9, IL9R, IRF1, IRF4, IRF7, IRF9, ISG15, ISG20, ITGAM, ITGAV, ITGB1, ITGB2, ITGB6, JAG1, JAK2, JUNB, KAT2BCFB, KAT2B, KDR, KLF4, KLK3, KRT17, LBP, LCAT, LEP, LEPR, LIF, LILRB2, LILRB4, LRP2, LTA, LTBR, LTF, LYZ, MAF, MAP2, MAP2K5, MCL1, MICA, MITF, MMP12, MMP13, MMP2, MMP3, MMP7, MMP9, MRAS, MUC1, MX1, MX2, MYB, MYC, MYD88, MYH7, NAMPT, NDRG1, NES, NFATC2, NFKB1, NFKBIZ, NKX2-1, NOS2, NOS3, NOTCH1, NOX5, NPPA, NPY, NR0B1, NR4A2, NRP1, NRP2, NUMBL, OAS1, OAS2, OAS3, OASLG6PC, OASL, OMP, PAX3, PAX6, PCK1, PCSK1, PDCD1LG2, PDIA4, PECAM1, PEG10, PEX1, PFKL, PGR, PHB, PHLDA1, PIM1, PIM2, PLA2G10, PLA2G2A, PLA2G4A, PLAU, PLAUR, PLSCR1, PMAIP1, PML, POLE4, POMC, POU2F1, POU5F1, PPARGC1A, PRDM1, PROK2, PSIP1, PSMB5, PSMB8, PSMB9, PTGS2, PTK2, PTN, PTPN13, PTPN2, PTPN6, RAB27A, RALGDS, RBPJ, REG1B, REG3A, REN, RET, RNASE7, RNLS, ROR1, RORA, RORC, RPE65A2M, RPE65, S100A7, S1PR1, SAA1, SALL4, SERPINA1, SERPINA3, SERPINB1, SERPINB3, SERPINB4, SERPINB9, SERPINE1, SERPINE2, SFTPB, SGK1, SHH, SLAMF1, SLC1A3, SLC2A1, SLC39A10, SLC9A3, SLFN12L, SLFN13, SLFN5, SMAD6, SMAD9, SNAI1, SNAI2, SOCS1, SOCS3, SOD2, SOS2, SOX6, SP110, SREBF1, STAT1, STAT3, STC2, SYNPO, T	399.0	7.656333333333333	induced
STAT4	transcription regulator	ACADL, ACAP1, ACP6, ACSS1, ACVRL1, ADSS, AHNAK, AKAP8L, ALDOC, ANGPTL6, AP2A2, ARFGAP3, ARHGAP15, ARL5B, ARMCX1, ASPH, ATF4, ATG12, ATP7A, BAD, BANP, BCL2, BCL2L1, BCL2L11, BCL3, BSG, C10orf54, C3, CAPN5, CCL2, CCNI, CCNL2, CCR5, CDK2, CDKN1B, CIR1, COPG1, CXCL10, CXCL2, CXCL3, DAP, DAPK2, DDAH2, DHX8, DNAJB6, DPM3, ENO2, ENTPD4, EPOR, ERRFI1, ETV5, FBXL12, FCER1G, FDX1, FSCN1, FURIN, FYB, FZD7, GADD45G, GATA3, GBE1, GCNT2, GJA1, GLG1, GRTP1, GTF2E2, H3F3A/H3F3B, HCFC2, HES6, HEXB, HILPDA, HIST2H2AA3/HIST2H2AA4, HLA-DQB1, IER3, IFIH1, IFIT1B, IFIT2, IFNG, IL10, IL10RA, IL12RB1, IL12RB2, IL13, IL17A, IL18R1, IL18RAP, IL2, IL22, IL2RA, IL6, ING2, INSL3, INTS12, IRF1, IRF4, ISG15, ISG20, ITGA7, ITIH5, JAG2CIR1, JAG2, KCNK7, KDELR2, KDM6B, KLF9, KRT18, LAMTOR3, LPIN1, LRP1, LRRFIP1, LTBP3, LUC7L, MAGED1, MAP3K1, MAP3K8, MAPK8IP3, MATK, MBOAT2, MGARP, MLLT3, MTHFS, MUC2, MYC, NDRG1, NXNFURIN, NXN, P4HA2, PBX4, PCGF5, PDK1, PER1, PEX13, PFN2, PGP, PKP2, PLAC8, PLOD2, POLD4, PPP1R13L, PRDM1, PRDM16, PRDX6, PYGL, R3HDM1, RAMP1, RAMP2, RASL12, RASSF1, RCN3, RGCC, RGS16, RNF128, RNF130, RNF138, RORAACADL, RORA, RRAD, RRAGD, S100A4, SAT1, SCG5, SELE, SELENBP1, SELPLG, SERPINB1, SERPINB5, SERPINE1, SERTAD1, SETD5, SF3B1, SH2B1, SH3BP4, SH3GLB1, SLC2A3, SMPDL3A, SMURF2, SOCS3, SRPK1, STAT1, STC2, STK32C, SUN1, SUPT3H, SYPL1	184.0	9.397	induced
STAT5A	transcription regulator	A2M, ADIPOQ, AR, ARNT, ATM, BAX, BCL2, BCL2A1, BCL2L1, BCL6, BIRC3, CASP2, CASP3, CASP4, CASP6, CASP8, CASP9, CCL3L3, CCND1, CCND2, CCND3, CCNE1, CCR5, CD70, CDC25C, CDC7, CDH1, CDK4, CDK6, CDKN1A, CDKN1B, CEBPA, CEBPB, CFLAR, CHEK1, CISH, CSN2, CXCR3, CYP27B1, DUSP5, EGLN3, EOMES, EPAS1, EPOR, ESR1, ESR2, EZH2, FABP4, FAS, FASLG, FASN, FCER1G, FOS, FOSB, FOSL2, GADD45A, GADD45G, GJB1, GYS2, GZMA, GZMK, GZMM, HAMP, HSD3B2, ICAM1, ID1, ID2, IFITM2, IFNG, IGF1, IGFALS, IL12RB2, IL24, IL2RA, IL2RB, IL4, IL5, IL6, IL6R, IL6ST, IL7R, IL9, IRF1CFLAR, IRF1, KLF10, KLRB1, KLRC1, KLRG1, KSR1, LTA, LTB, LTBR, MAF, MCL1, MDM2, MYC, MYH1, MYH7, MYL2, NOL3, NR4A2GADD45A, NR4A2, ONECUT1, OSM, PIM1, PIP, PPARG, PRDM1, PRF1, PRL, PRLR, RAB19, RAB27B, RIMKLA, RPA1A2M, SOCS1, SOCS2, SOCS3, SP1, SREBF1, SRP9, STAT5A, STAT5B, SYTL2, TANK, TBX1, TBX21, TGFBR2, TNF, TNFRSF11A, TNFRSF14, TNFRSF18, TNFRSF1A, TNFRSF25, TNFRSF4, TNFRSF9, TNFSF11, TNFSF4, TNNC1, TNNI1, TNNT1, TP53, TPM3, TRAF1, TRAF2, TRAF3, TRAF4, TROVE2, UGP2, WARS, XIAP, YBX1, YWHAG, ZFP36, ZP3A2M, RPA1, RUNX2, S1PR5, SETBP1, SLC10A1, SLC2A1, SLC34A2	162.0	2.6750000000000003	induced
STAT5B	transcription regulator	A2M, ACOT11, ACTC1, AGPAT2, AHNAK, AKR1C1/AKR1C2, AKR1C3, ANKRD1, AR, ARNT, ASAP1, ATM, ATP2A2, BAX, BCL2, BCL2L1, BCL6, BIRC3, CASP2, CASP3, CASP4, CASP6, CASP8, CASP9, CCL3L3, CCND1, CCND2, CCND3, CCNE1, CD276, CD70, CDH1, CDK6, CDKN1A, CDO1, CFLAR, CHEK1, CIDEA, CISH, CKMT2, COX6A2, COX7A1, CRADD, CSHL1, CSN2, CSRP3, CUX2, CYP2A6 (includes others), CYP2B6, CYP3A5, DDC, DGAT2, EBF1, ESR1, ESR2, FAS, FBLN1, FOS, FOXP3, GADD45A, GCK, GJB1, GPD1, HAMP, HEXA, HSD3B2, IFNG, IGF1, IGFALS, IL24, IL2RA, IL2RB, IL4, IL5, IL6, IL9, IRF1CFLAR, IRF1, KSR1, LEP, LTA, LTB, LTBR, MAF, MB, MCL1, MDM2, ME1, MPC2, MYBPHL, MYC, MYH1, MYH6, MYH7, MYL1, MYL2, MYL4, MYL7, NOL3, NPPA, NR4A2, NUCB1A2M, SLC39A10, SLN, SOCS1, SOCS2, SOCS3, SRP9, ST8SIA4, STAT5A, STAT5B, TANK, TCAP, THRSP, TLR2, TMEM45B, TNF, TNFRSF11A, TNFRSF14, TNFRSF1A, TNFRSF25, TNFRSF4, TNFSF11, TNFSF4, TNNC1, TNNI1, TNNT1, TOX, TPM3, TRAF1, TRAF2, TRAF3, TRAF4, TRIM24, TROVE2, TULP2, UCP1, WARS, ZFP36A2M, PIM1, PIP, POU2F2, PPP1R3C, PRLR, RAB19, RASD1, RELA, RPA1, SCD, SH3RF3, SLC34A2	151.0	2.9705000000000004	induced
STAT6	transcription regulator	ABLIM1, ACOX1, ACP5, ACSL1, ADAM11, ADAM19, ALDH2, ALOX15, ANKRD55, APOE, APOLD1, AREG, ARG1, ARNTL2, AUH, BAX, BCL2, BCL2L1, BCL3, BCL6, CASP6, CCDC86, CCL11, CCL17, CCL2, CCL20, CCL22, CCL23, CCL24, CCL26, CCL3L3, CCL5, CCL8, CCND2, CCR5, CCR7, CD2, CD38, CD40, CD69, CDKN1A, CDKN1B, CISH, CLDN2, CNR2, COBLL1, COL1A1, COL1A2, CPOX, CR2, CRIP1, CSN2, CST7, CTNS, CTSB, CTSS, CTSW, CXCL10, CXCL3, CYTH1, DCSTAMP, DDAH1, DDHD1, DENND4A, DGKA, EGR1, EGR2, EPHX1, EXT1, FABP4, FAM126A, FCER1G, FCER2, FCGR1A, FCGR2A, FCGR3A/FCGR3B, FKBP5, FLRT2, FNIP2, FOXP3, GADD45B, GADD45G, GATA3, GBP2, GBP3, GFI1, GNA14, GNA15, GPM6B, HAMP, HCK, HIPK2, HLX, HMGCR, HRH1, HSD3B1, ICOSLG/LOC102723996, IER2, IFI16, IFIT3, IFNAR2, IFNG, IGF1, IL10, IL10RA, IL12B, IL13, IL13RA2, IL15, IL17A, IL17F, IL18R1, IL1A, IL1RN, IL2, IL24, IL31, IL33, IL4, IL4R, IL5, IL6, IL6ST, IL9, INPP1, IRF1, IRF4, IRF7, IRS2, ISG15, ISG20, ITGB7CISH, ITGB7, KRR1, LDLRAD3, LGALS3BP, LIF, LIFR, LILRB4, LPIN2, LTA, LTB, MAF, MMP12, MMP14, MMP2, MMP28, MMP9, MOV10, MVK, MYB, MYO6, NCOA3, NEDD9, NFATC1, NFATC2, NFIL3, NFKBIA	158.0	2.545	induced
TBK1	kinase	ATF7, ATM, BCL2L1, CCL3L3, CCL4, CCL5, CD40, CD70, CMPK2, CXCL10, CXCL11, CXCL2, CXCL3, CXCL8, CXCR3, EDN1, FGL2, HDC, ICAM1, IFIT1, IFIT1B, IFIT2, IFNA2, IFNA4, IFNB1, IFNG, IFNL1, IFNL2, IFNL3, IL10, IL12A, IL12B, IL15, IL15RA, IL18, IL1A, IL1B, IL6, INHBA, IRF7, IRG1, ISG15, ISG20CMPK2, ISG20, MARCO, NFKB1, NFKBIZ, NMIHDC, NMI, PLA1A, PTGS2, RBL1, RELA, RGCC, RILPL1	55.0	4.346	induced
TCF3	transcription regulator	AATF, ABCC12, ABCC8, ACACB, ADIPOQ, AGRP, ANLN, AP3B1, AP3D1, AP4B1, ARAF, ARSA, ASUN, ATF3, ATOH1, AURKA, AXIN2, AZGP1, BCL2L11, BCL6, BID, BIK, BLNK, BTNL2, BUB1, CA2, CASP3, CASP6, CBFA2T3, CCNA2, CCNB1, CCNB2, CCND2, CCND3, CCNE1, CCNE2, CCR9, CD3E, CD4, CD5, CD79A, CD79B, CD8B, CDC45, CDH1, CDH5, CDK6, CDKN1A, CDKN2A, CDKN2B, CDKN2C, CELA1, CERK, CGREF1, CHRNA5, CKM, COL1A1, CPA1, CPT1B, CR2, CTRB2, CTSV, SMARCC1, SOCS1, SOCS3, SOX1, STRN3, SULT1A3/SULT1A4, SULT2B1, TCF3, TF, TMEFF1, TMEM180, TNF, TOP2A, TOX, TTK, TYMS, VPREB1, WBP5, XBP1, XRCC6, ZC3H12A, ZP1, ZP2, ZP3, ZP4AATF, PLCG2, PLK4, PMS2, POLE4, POU2AF1, PRSS3, PSAP, PTCRA, PTGS1, PTPRCAP, PTPRU, RAB33A, RACGAP1, RAG1, RAG2, RASA4, RASSF4, RGS16, RORA, RORC, RPS3A, RQCD1, SCIN, SCN4A, SCX, SEMA3G, SLC12A2, SLC22A16, SLC7A5	116.0	0.0	
TCF7L2	transcription regulator	ABCD2, ACAA1, ACADL, ACOT4, AKR1C4, ALDH1A2, ALDH3A2, AQP3, AQP9, AXIN2, CCND1, CCND2, CD4, CDKN1A, CDKN1B, CDKN2A, CTGF, CYP2C8, CYP2E1, CYP7A1, EHHADH, EPCAM, ERBB3, FBP1, FBP2, FGF21, FH, G6PC, GAST, GLUL, GYS2, HMGCS2, IL10, INS, IRS1, IRS2CTGF, IRS2, KDM4B, LAMC2, LBH, LEF1, MAFA, MDH1B, MMP1, MYC, NKX2-1ABCD2, PKD1, PPARGC1A, PROP1, RNASE4, SDC2, SLC17A2, SLC1A2, SLC27A2, SNAI2, SP5, SRPK1, SRSF1, SUZ12	59.0	2.7634999999999996	induced
TGFA	growth factor	AKT1, ALB, AREG, BCL2L1, BIRC3, BIRC5, CASP1, CCL2, CCL5, CCND1, CDKN1A, CEBPB, CSF2, CSN2, CTGF, CTNNB1, CXCL10, CXCL2, CXCL8, DDX3X, DDX5, DEFB103A/DEFB103B, E2F1, EGFR, EREG, ERRFI1, ESR1, FGF7, FOS, FOSL2, GFAP, GJB1, GJB2, GSTP1, HGF, HSD17B1, ICAM1, IGFBP4, IL6, ITGAM, JUNBCSF2, JUNB, LAMC2, LCN2, MMP13, MMP9, MUC2, MUC4, MUC5AC, NES, NR4A2AKT1, PLA2G4A, PLA2G5, PLAGL1, PLAT, PRNP, PTGS1, PTGS2, PTTG1, PYY, RB1, S100A10, SERPINA1, SERPINB5, SERPINE1, SLC1A2, SLPI	67.0	3.8475	induced
